Month of Observation,Median Home Price (NSA),Inflation Adjusted Price
5/1/2018,"$252,382.47 ","$270,260.56 "
6/1/2018,"$253,977.94 ","$271,572.71 "
7/1/2018,"$254,756.46 ","$272,195.99 "
8/1/2018,"$255,285.08 ","$272,338.22 "
9/1/2018,"$254,583.45 ","$271,107.25 "
10/1/2018,"$254,429.67 ","$270,176.41 "
11/1/2018,"$255,083.24 ","$270,952.92 "
12/1/2018,"$254,458.51 ","$270,641.51 "
1/1/2019,"$254,996.74 ","$271,269.84 "
2/1/2019,"$256,870.94 ","$272,693.28 "
3/1/2019,"$259,600.54 ","$274,313.62 "
4/1/2019,"$262,551.20 ","$276,150.44 "
5/1/2019,"$265,348.08 ","$279,043.01 "
6/1/2019,"$266,453.38 ","$280,148.31 "
7/1/2019,"$267,597.12 ","$280,798.96 "
8/1/2019,"$267,376.06 ","$280,355.57 "
9/1/2019,"$268,308.35 ","$280,879.10 "
10/1/2019,"$268,414.08 ","$280,056.37 "
11/1/2019,"$268,721.64 ","$279,723.03 "
12/1/2019,"$269,538.60 ","$280,340.89 "
1/1/2020,"$270,317.11 ","$280,624.58 "
2/1/2020,"$273,440.77 ","$283,717.09 "
3/1/2020,"$276,112.71 ","$287,416.69 "
4/1/2020,"$278,246.41 ","$291,669.34 "
5/1/2020,"$279,226.76 ","$292,982.89 "
6/1/2020,"$282,600.32 ","$294,978.27 "
7/1/2020,"$285,800.87 ","$296,793.98 "
8/1/2020,"$289,799.16 ","$299,894.24 "
9/1/2020,"$293,518.73 ","$302,998.47 "
10/1/2020,"$296,575.11 ","$305,785.65 "
11/1/2020,"$298,833.76 ","$307,565.36 "
12/1/2020,"$300,717.57 ","$308,755.18 "
1/1/2021,"$303,245.34 ","$310,553.82 "
2/1/2021,"$307,714.58 ","$314,017.12 "
3/1/2021,"$314,836.54 ","$319,304.76 "
4/1/2021,"$322,342.94 ","$324,419.56 "
5/1/2021,"$329,522.56 ","$329,522.56 "
